Full Name,department,12th Mark,10th Mark,Current CGPA,Backlogs,Company Placed,Skills Known,Projects Done,Certifications/Internships
Ritu Singh,eee,82,85.6,7.4,0,Cognizant, SQL,"Inventory Management System, Network Security Tool","Infosys Internship,  Java Certification"
Sameer Gupta,cse,88,82.7,6.7,0,Wipro Technologies, JavaScript,"Food Delivery App, Travel Experience App","Wipro Internship,  CompTIA Security+"
Nisha Yadav,it,80.1,88,7.3,0,KPIT Technologies,Css,"Sales Forecasting System, Cloud Migration Project",Tech Mahindra Internship
Deepak Verma,ece,78.6,86.5,6.3,0,Tech Mahindra, Java,"Online Voting System, DevOps Implementation",HCL Technologies Internship
Kirti Kapoor,eee,82,80.5,7.1,0,KPIT Technologies, Python,"Sentiment Analysis Model, E-commerce Platform",L&T Infotech Internship
Rahul Sharma,cse,87.4,89.2,6.8,0,Wipro Technologies, JavaScript,"Bug Tracking System, UI Redesign for an App","Mphasis Internship, Machine Learning Certification"
Priya Patel,it,81.5,81.8,7.6,0,Cognizant, SQL,"CRM Software, Inventory Management System",Mindtree Internship
Karan Mehta,ece,79.2,87.3,6.5,0,Tech Mahindra, Python,"Cloud Migration Project, Data Analysis Tool",Persistent Systems Internship
Pooja Gupta,eee,82.6,84.2,7.2,0,KPIT Technologies, Ruby,"E-commerce Platform, Mobile Task Management App",L&T Technology Services Internship
Ankit Verma,cse,76,87.7,6.2,2,Tech Mahindra,Css,"Inventory Management System, UI/UX Redesign",Hexaware Technologies Internship
Sneha Singh,it,91.4,79.5,7,0,Wipro Technologies, Java,"Customer Data Analysis, Database Optimization Tool",Mindfire Solutions Internship
Rohit Saini,ece,77.2,86.2,6.6,0,Tech Mahindra, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Cognizant Internship,  Data Science Certification"
Simran Yadav,eee,92.3,81.3,9.1,0,Hexaware Technologies, SQL,"Software Testing Framework, Cloud Migration Project",Techjini Internship
Abhishek Gupta,cse,85.5,85.6,8,0,Infosys, PHP,"E-commerce Website Development, Data Analysis Tool","Mphasis Internship,  CompTIA Cloud+"
Priyanka Kapoor,it,91,82.7,7,0,Wipro Technologies, JavaScript,"Finance Management App, UI Redesign for Web App","Quinnox Internship,  PHP Certification"
Jatin Verma,ece,86.5,88,8,0,Infosys, Java,"Automotive Diagnostics Software, Embedded System for Vehicles",Birlasoft Internship
Kavita Sharma,eee,93,86.5,9.4,0,Hexaware Technologies, Ruby,"Content Management System, Mobile Task Management App",KPIT Technologies Internship
Alok Yadav,cse,82.5,80.5,7.5,0,Cognizant,Css,"Bug Tracking System, Database Optimization Tool",Sonata Software Internship
Meenakshi Singh,it,94,89.2,9.4,0,Hexaware Technologies, SQL,"Sales Forecasting System, Cloud Migration Project",Syntel Internship
Rishabh Kapoor,ece,92,90,8.6,0,Birlasoft, JavaScript,"Website Redesign, UI/UX Redesign for Web App",Coforge Internship
Aparna Verma,eee,71,87.3,6,1,css corp, Java,"Inventory Management System, Database Optimization Tool",CSS Corp Internship
Arjun Saini,cse,72,84.2,5,1,css corp, Python,"E-commerce Website Development, Student Database Management",L&T Infotech Internship
Ritu Singh,it,92,87.7,9.6,0,L&T Infotech, SQL,"Inventory Management System, Network Security Tool","Infosys Internship,  Java Certification"
Sameer Gupta,ece,83,79.5,7.2,0,KPIT Technologies, JavaScript,"Food Delivery App, Travel Experience App",
Nisha Yadav,eee,93,86.2,6.8,0,Wipro Technologies, PHP,"Sales Forecasting System, Cloud Migration Project","Wipro Internship,  CompTIA Security+"
Deepak Verma,cse,81,81.3,7.5,0,Cognizant, Java,"Online Voting System, DevOps Implementation",Tech Mahindra Internship
Kirti Kapoor,it,81.2,88.5,7.1,0,KPIT Technologies,Css,"Sentiment Analysis Model, E-commerce Platform",HCL Technologies Internship
Ram,ece,78.1,80.2,6.5,0,Tech Mahindra, JavaScript,"Bug Tracking System, UI Redesign for an App",L&T Infotech Internship
Shahul,eee,87.7,86.3,7.8,0,Infosys, SQL,"CRM Software, Inventory Management System","Mphasis Internship, Machine Learning Certification"
Charan,cse,85,79,6.9,0,Wipro Technologies, Python,"Cloud Migration Project, Data Analysis Tool",Mindtree Internship
yamini,it,82,87,7.4,0,Cognizant, Ruby,"E-commerce Platform, Mobile Task Management App",Persistent Systems Internship
suresh,ece,84.2,81.7,6.7,0,Wipro Technologies, JavaScript,"Inventory Management System, UI/UX Redesign",L&T Technology Services Internship
rituram,eee,80.4,87.6,7.3,0,KPIT Technologies, Java,"Customer Data Analysis, Database Optimization Tool",Hexaware Technologies Internship
Ram,cse,79.6,79.4,6.3,0,Tech Mahindra, JavaScript,"Location-Based Services App, UI Redesign for Mobile App",Mindfire Solutions Internship
Kiran,it,80.3,84.5,7.1,0,KPIT Technologies, SQL,"Software Testing Framework, Cloud Migration Project","Cognizant Internship,  Data Science Certification"
Meenakshi,ece,92.5,90.3,6.8,0,Wipro Technologies, PHP,"E-commerce Website Development, Data Analysis Tool",Techjini Internship
Meera,eee,81.5,85.6,7.6,0,Cognizant,Css,"Finance Management App, UI Redesign for Web App","Mphasis Internship,  CompTIA Cloud+"
Rahul,cse,76.3,82.7,6.5,0,Tech Mahindra, Java,"Automotive Diagnostics Software, Embedded System for Vehicles","Quinnox Internship,  PHP Certification"
Chandran,it,83.4,88,7.2,0,KPIT Technologies, Ruby,"Content Management System, Mobile Task Management App",Birlasoft Internship
raiu,ece,77.2,86.5,6.2,3,Tech Mahindra, JavaScript,"Bug Tracking System, Database Optimization Tool",KPIT Technologies Internship
raja,eee,93.5,80.5,7,0,Wipro Technologies, SQL,"Sales Forecasting System, Cloud Migration Project",Sonata Software Internship
maran,cse,76,89.2,6.6,0,Tech Mahindra, JavaScript,"Website Redesign, UI/UX Redesign for Web App",Syntel Internship
Krishna,it,82.5,81.8,7.5,0,Cognizant, Java,"Inventory Management System, Database Optimization Tool",Coforge Internship
Singh,ece,77,87.3,6.3,0,Tech Mahindra, Python,"E-commerce Website Development, Student Database Management",CSS Corp Internship
Kohal,eee,92.3,84.2,6.7,0,Wipro Technologies, SQL,"Inventory Management System, Network Security Tool",L&T Infotech Internship
Ramkiran,cse,73,87.7,4,1,css corp, JavaScript,"Inventory Management System, Network Security Tool","Infosys Internship,  Java Certification"
Chandra,it,81.5,79.5,7.4,0,Cognizant, PHP,"E-commerce Website Development, Student Database Management","Infosys Internship,  Java Certification"
sekar,ece,87.4,86.2,6.8,0,Wipro Technologies, Java,"Inventory Management System, Network Security Tool",
manoj,eee,82,81.3,7.5,0,Cognizant,Css,"Food Delivery App, Travel Experience App","Wipro Internship,  CompTIA Security+"
remuyuka,cse,83.6,85.6,7.1,0,KPIT Technologies, JavaScript,"Sales Forecasting System, Cloud Migration Project",Tech Mahindra Internship
reshu,it,78.6,82.7,6.5,0,Tech Mahindra, SQL,"Online Voting System, DevOps Implementation",HCL Technologies Internship
kala,ece,88,88,7.8,0,Infosys, Python,"Sentiment Analysis Model, E-commerce Platform",L&T Infotech Internship
hariharan,eee,91.4,86.5,6.9,0,Wipro Technologies, Ruby,"Bug Tracking System, UI Redesign for an App","Mphasis Internship, Machine Learning Certification"
harish,cse,81,80.5,7.4,0,Cognizant, JavaScript,"CRM Software, Inventory Management System",Mindtree Internship
ranjith,it,92.1,89.2,6.7,0,Wipro Technologies, Java,"Cloud Migration Project, Data Analysis Tool",Persistent Systems Internship
Sam,ece,80.1,81.8,7.3,0,KPIT Technologies, JavaScript,"E-commerce Platform, Mobile Task Management App",L&T Technology Services Internship
samuel,eee,78.2,87.3,6.3,0,Tech Mahindra, SQL,"Inventory Management System, UI/UX Redesign",Hexaware Technologies Internship
Edwin,cse,81.5,84.2,7.1,0,KPIT Technologies, PHP,"Customer Data Analysis, Database Optimization Tool",Mindfire Solutions Internship
adhi,it,90.5,87.7,6.8,0,Wipro Technologies, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Cognizant Internship,  Data Science Certification"
lakshmi,ece,82.5,79.5,7.6,0,Cognizant, Java,"Software Testing Framework, Cloud Migration Project",Techjini Internship
asvitha,eee,79.5,86.2,6.5,0,Tech Mahindra, Ruby,"E-commerce Website Development, Data Analysis Tool","Mphasis Internship,  CompTIA Cloud+"
semel,cse,82.4,81.3,7.2,0,KPIT Technologies,Css,"Finance Management App, UI Redesign for Web App","Quinnox Internship,  PHP Certification"
yogi,it,76.2,88.5,6.2,0,Tech Mahindra, SQL,"Automotive Diagnostics Software, Embedded System for Vehicles",Birlasoft Internship
babu chandra,ece,85.8,80.2,7,0,Wipro Technologies, JavaScript,"Content Management System, Mobile Task Management App",KPIT Technologies Internship
sekar chandran,eee,75.3,86.3,6.6,0,Tech Mahindra, Java,"Bug Tracking System, Database Optimization Tool",Sonata Software Internship
renu,cse,81.5,79,7.5,0,Cognizant, Python,"Sales Forecasting System, Cloud Migration Project",Syntel Internship
niru,it,74.2,87,6.3,0,Tech Mahindra, SQL,"Website Redesign, UI/UX Redesign for Web App",Coforge Internship
sakthi,ece,88,81.7,6.7,0,Wipro Technologies, JavaScript,"Inventory Management System, Database Optimization Tool",CSS Corp Internship
abirami,eee,70.5,87.6,4,1,css corp, PHP,"E-commerce Website Development, Student Database Management",L&T Infotech Internship
mufa,cse,82.5,79.4,7.4,0,Cognizant, Java,"Inventory Management System, Network Security Tool","Infosys Internship,  Java Certification"
gopika,it,86,84.5,8,0,Infosys, Python,"Food Delivery App, Travel Experience App","Wipro Internship,  CompTIA Security+"
gopi,ece,90,95,9,0,Birlasoft, JavaScript,"Sales Forecasting System, Cloud Migration Project",Tech Mahindra Internship
hariharan,eee,72.5,85.6,5,1,css corp, SQL,"Online Voting System, DevOps Implementation",HCL Technologies Internship
harish,cse,82.1,85.6,7.2,0,KPIT Technologies, Python,"Sentiment Analysis Model, E-commerce Platform",L&T Infotech Internship
ranjith,it,90.8,82.7,6.8,0,Wipro Technologies, Ruby,"Bug Tracking System, UI Redesign for an App","Mphasis Internship, Machine Learning Certification"
Sam,ece,81.5,88,7.5,0,Cognizant, JavaScript,"CRM Software, Inventory Management System",Mindtree Internship
samuel,eee,83.6,86.5,7.1,0,KPIT Technologies,Css,"Cloud Migration Project, Data Analysis Tool",Persistent Systems Internship
Edwin,cse,76.2,80.5,6.5,0,Tech Mahindra, JavaScript,"E-commerce Platform, Mobile Task Management App",L&T Technology Services Internship
adhi,it,87,89.2,7.8,0,Infosys, SQL,"Inventory Management System, UI/UX Redesign",Hexaware Technologies Internship
lakshmi,ece,84.2,81.8,6.9,0,Wipro Technologies, PHP,"Customer Data Analysis, Database Optimization Tool",Mindfire Solutions Internship
asvitha,eee,81,87.3,7.4,0,Cognizant, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Cognizant Internship,  Data Science Certification"
semel,cse,78.4,84.2,6.7,0,Wipro Technologies, Java,"Software Testing Framework, Cloud Migration Project",Techjini Internship
yogi,it,82.9,87.7,7.3,0,KPIT Technologies, Ruby,"E-commerce Website Development, Student Database Management","Mphasis Internship,  CompTIA Cloud+"
babu chandra,ece,79.5,79.5,6.3,0,Tech Mahindra, JavaScript,"Inventory Management System, Network Security Tool","Quinnox Internship,  PHP Certification"
sekar chandran,eee,83.4,86.2,7.1,0,KPIT Technologies, SQL,"Food Delivery App, Travel Experience App",Birlasoft Internship
renu,cse,94.2,81.3,6.8,0,Wipro Technologies, JavaScript,"Sales Forecasting System, Cloud Migration Project",KPIT Technologies Internship
niru,it,82,88.5,7.6,0,Cognizant, Java,"Online Voting System, DevOps Implementation",Sonata Software Internship
sakthi,ece,78.3,80.2,6.5,0,Tech Mahindra,Css,"Sentiment Analysis Model, E-commerce Platform",Syntel Internship
abirami,eee,81.2,86.3,7.2,0,KPIT Technologies, SQL,"Bug Tracking System, UI Redesign for an App",Coforge Internship
mufa,cse,77.2,79,6.2,0,Tech Mahindra, Python,"CRM Software, Inventory Management System",CSS Corp Internship
gopika,it,90.5,87,7,0,Wipro Technologies, SQL,"Cloud Migration Project, Data Analysis Tool",L&T Infotech Internship
gopi,ece,76.2,81.7,6.6,0,Tech Mahindra, JavaScript,"E-commerce Platform, Mobile Task Management App","Infosys Internship,  Java Certification"
barath,eee,81.5,87.6,7.5,0,Cognizant, PHP,"Inventory Management System, UI/UX Redesign",
raj,cse,77.6,79.4,6.3,0,Tech Mahindra, Java,"Customer Data Analysis, Database Optimization Tool","Wipro Internship,  CompTIA Security+"
Pooja Gupta,it,91.6,84.5,6.7,0,Wipro Technologies, Python,"Location-Based Services App, UI Redesign for Mobile App",Tech Mahindra Internship
Ankit Verma,ece,73.5,90.3,4,1,css corp, JavaScript,"Software Testing Framework, Cloud Migration Project",HCL Technologies Internship
Sneha Singh,eee,82.5,85.6,7.4,0,Cognizant, SQL,"E-commerce Website Development, Data Analysis Tool",L&T Infotech Internship
Rohit Saini,cse,86,82.7,6.7,0,Wipro Technologies, Python,"Finance Management App, UI Redesign for Web App","Infosys Internship,  Java Certification"
Simran Yadav,it,80.6,88,7.3,0,KPIT Technologies, Ruby,"Automotive Diagnostics Software, Embedded System for Vehicles",
Abhishek Gupta,ece,74.2,86.5,6.3,0,Tech Mahindra, JavaScript,"Content Management System, Mobile Task Management App","Wipro Internship,  CompTIA Security+"
Priyanka Kapoor,eee,80.7,80.5,7.1,0,KPIT Technologies, Java,"Bug Tracking System, Database Optimization Tool",Tech Mahindra Internship
Jatin Verma,cse,85,89.2,6.8,0,Wipro Technologies, JavaScript,"Sales Forecasting System, Cloud Migration Project",HCL Technologies Internship
Kavita Sharma,it,81,81.8,7.6,0,Cognizant,Css,"Website Redesign, UI/UX Redesign for Web App",L&T Infotech Internship
Alok Yadav,ece,75.2,87.3,6.5,0,Tech Mahindra, PHP,"Inventory Management System, Database Optimization Tool","Mphasis Internship, Machine Learning Certification"
Meenakshi Singh,eee,82.5,84.2,7.2,0,KPIT Technologies, JavaScript,"E-commerce Website Development, Student Database Management",Mindtree Internship
Rishabh Kapoor,cse,76.2,87.7,6.2,0,Tech Mahindra, Java,"Inventory Management System, Network Security Tool",Persistent Systems Internship
Aparna Verma,it,90.5,79.5,7,0,Wipro Technologies, Ruby,"Food Delivery App, Travel Experience App",L&T Technology Services Internship
Arjun Saini,ece,75.1,86.2,6.6,0,Tech Mahindra, JavaScript,"Sales Forecasting System, Cloud Migration Project",Hexaware Technologies Internship
Ritu Singh,eee,92,81.3,9.1,0,Hexaware Technologies, SQL,"Online Voting System, DevOps Implementation",Mindfire Solutions Internship
Sameer Gupta,cse,84.6,85.6,8,0,Infosys, JavaScript,"Sentiment Analysis Model, E-commerce Platform","Cognizant Internship,  Data Science Certification"
Nisha Yadav,it,91,82.7,7,0,Wipro Technologies, Java,"Bug Tracking System, UI Redesign for an App",Techjini Internship
Deepak Verma,ece,86,88,8,0,Infosys, Python,"CRM Software, Inventory Management System","Mphasis Internship,  CompTIA Cloud+"
Kirti Kapoor,eee,94.5,86.5,9.4,0,Hexaware Technologies, SQL,"Cloud Migration Project, Data Analysis Tool","Quinnox Internship,  PHP Certification"
Ram,cse,82.5,80.5,7.5,0,Cognizant, Python,"E-commerce Platform, Mobile Task Management App",Birlasoft Internship
Shahul,it,93,89.2,9.4,0,Hexaware Technologies, SQL,"Inventory Management System, UI/UX Redesign",KPIT Technologies Internship
Charan,ece,93,96,8.6,0,Birlasoft, JavaScript,"Customer Data Analysis, Database Optimization Tool",Sonata Software Internship
yamini,eee,74,87.3,6,1,css corp, PHP,"Location-Based Services App, UI Redesign for Mobile App",Syntel Internship
suresh,it,72.5,84.2,5,1,css corp, Java,"Software Testing Framework, Cloud Migration Project",Coforge Internship
ltiman,cse,91.6,87.7,9.6,0,L&T Infotech, Python,"E-commerce Website Development, Data Analysis Tool",CSS Corp Internship
manu,it,80.2,79.5,7.2,0,KPIT Technologies, JavaScript,"Finance Management App, UI Redesign for Web App",L&T Infotech Internship
saanu,ece,93,86.2,6.8,0,Wipro Technologies, SQL,"Automotive Diagnostics Software, Embedded System for Vehicles","Infosys Internship,  Java Certification"
sharan,eee,81.5,81.3,7.5,0,Cognizant,Css,"Content Management System, Mobile Task Management App","Wipro Internship,  CompTIA Security+"
abi,cse,83.7,88.5,7.1,0,KPIT Technologies, Ruby,"Bug Tracking System, Database Optimization Tool",Tech Mahindra Internship
keerthi,cse,76,80.2,6.5,0,Tech Mahindra, JavaScript,"Sales Forecasting System, Cloud Migration Project",HCL Technologies Internship
jothi,it,87,86.3,7.8,0,Infosys, Java,"Website Redesign, UI/UX Redesign for Web App",L&T Infotech Internship
mayuri,ece,85,79,6.9,0,Wipro Technologies, JavaScript,"Inventory Management System, Database Optimization Tool","Mphasis Internship, Machine Learning Certification"
mohini,eee,80,87,7.4,0,Cognizant, SQL,"E-commerce Website Development, Student Database Management",Mindtree Internship
karthik,it,84.2,81.7,6.7,0,Wipro Technologies, PHP,"Inventory Management System, Network Security Tool",Persistent Systems Internship
yuvaraj,cse,81.5,87.6,7.3,0,KPIT Technologies, JavaScript,"Food Delivery App, Travel Experience App",L&T Technology Services Internship
yuva,cse,74.2,79.4,6.3,0,Tech Mahindra, Java,"Sales Forecasting System, Cloud Migration Project",Hexaware Technologies Internship
ranjitha,it,81.6,84.5,7.1,0,KPIT Technologies, Ruby,"Online Voting System, DevOps Implementation",Mindfire Solutions Internship
rani,ece,92.5,90.3,6.8,0,Wipro Technologies, JavaScript,"Sentiment Analysis Model, E-commerce Platform","Cognizant Internship,  Data Science Certification"
hema,eee,80.5,85.6,7.6,0,Cognizant, SQL,"Bug Tracking System, UI Redesign for an App",Techjini Internship
hemaraj,it,75.2,82.7,6.5,0,Tech Mahindra, JavaScript,"CRM Software, Inventory Management System","Mphasis Internship,  CompTIA Cloud+"
parvathi,cse,80.3,88,7.2,0,KPIT Technologies, Java,"Cloud Migration Project, Data Analysis Tool","Quinnox Internship,  PHP Certification"
aarthi,cse,80.4,87.6,7.2,0,KPIT Technologies, Python,"E-commerce Platform, Mobile Task Management App",Birlasoft Internship
aarthka,it,93.5,79.4,6.8,0,Wipro Technologies, SQL,"Inventory Management System, UI/UX Redesign",KPIT Technologies Internship
Abhishek Gupta,ece,82.5,84.5,7.5,0,Cognizant, Python,"Customer Data Analysis, Database Optimization Tool",Sonata Software Internship
Priyanka Kapoor,eee,80.2,90.3,7.1,0,KPIT Technologies, SQL,"Location-Based Services App, UI Redesign for Mobile App",Syntel Internship
Jatin Verma,it,75.2,85.6,6.5,0,Tech Mahindra, JavaScript,"Software Testing Framework, Cloud Migration Project",Coforge Internship
Kavita Sharma,cse,88,82.7,7.8,0,Infosys, PHP,"E-commerce Website Development, Data Analysis Tool",CSS Corp Internship
Alok Yadav,cse,85.2,88,6.9,0,Wipro Technologies,Css,"Finance Management App, UI Redesign for Web App",L&T Infotech Internship
Meenakshi Singh,it,82,86.5,7.4,0,Cognizant, Python,"Automotive Diagnostics Software, Embedded System for Vehicles","Infosys Internship,  Java Certification"
Rishabh Kapoor,ece,87.4,80.5,6.7,0,Wipro Technologies, JavaScript,"Content Management System, Mobile Task Management App",
Aparna Verma,eee,80.5,89.2,7.3,0,KPIT Technologies, SQL,"Bug Tracking System, Database Optimization Tool","Wipro Internship,  CompTIA Security+"
Arjun Saini,cse,78.2,81.8,6.3,0,Tech Mahindra, Python,"Sales Forecasting System, Cloud Migration Project",Tech Mahindra Internship
Ritu Singh,it,83.2,87.3,7.1,0,KPIT Technologies, Ruby,"Website Redesign, UI/UX Redesign for Web App",HCL Technologies Internship
Sameer Gupta,cse,84.5,84.2,6.8,0,Wipro Technologies, JavaScript,"Inventory Management System, Database Optimization Tool",L&T Infotech Internship
Nisha Yadav,it,80.5,87.7,7.6,0,Cognizant, Java,"E-commerce Website Development, Student Database Management","Infosys Internship,  Java Certification"
Deepak Verma,ece,7.4,79.5,6.5,0,Tech Mahindra, JavaScript,"Inventory Management System, Network Security Tool",
Kirti Kapoor,eee,80.1,86.2,7.2,0,KPIT Technologies, SQL,"Inventory Management System, Network Security Tool","Wipro Internship,  CompTIA Security+"
Ram,cse,7.6,81.3,6.2,2,Tech Mahindra, PHP,"E-commerce Website Development, Student Database Management",Tech Mahindra Internship
Shahul,it,89.9,85.6,7,0,Wipro Technologies, JavaScript,"Inventory Management System, Network Security Tool",HCL Technologies Internship
Charan,cse,77.5,82.7,6.6,0,Tech Mahindra, Java,"Food Delivery App, Travel Experience App",L&T Infotech Internship
yamini,it,81,88,7.5,0,Cognizant, Ruby,"Sales Forecasting System, Cloud Migration Project","Mphasis Internship, Machine Learning Certification"
suresh,ece,77.2,86.5,6.3,0,Tech Mahindra, JavaScript,"Online Voting System, DevOps Implementation",Mindtree Internship
ltiman,eee,92.3,80.5,6.7,0,Wipro Technologies, SQL,"Sentiment Analysis Model, E-commerce Platform",Persistent Systems Internship
manu,cse,73.5,89.2,4,1,css corp, JavaScript,"Bug Tracking System, UI Redesign for an App",L&T Technology Services Internship
saanu,cse,81.5,81.8,7.4,0,Cognizant, Java,"CRM Software, Inventory Management System",Hexaware Technologies Internship
sharan,it,87.4,87.3,6.7,0,Wipro Technologies, Python,"Cloud Migration Project, Data Analysis Tool",Mindfire Solutions Internship
abi,ece,82,84.2,7.3,0,KPIT Technologies,Css,"E-commerce Platform, Mobile Task Management App","Cognizant Internship,  Data Science Certification"
keerthi,eee,75,87.7,6.3,0,Tech Mahindra, Python,"Inventory Management System, UI/UX Redesign",Techjini Internship
jothi,it,80.1,79.5,7.1,0,KPIT Technologies, SQL,"Customer Data Analysis, Database Optimization Tool","Mphasis Internship,  CompTIA Cloud+"
mayuri,it,84.5,86.2,6.8,0,Wipro Technologies, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Quinnox Internship,  PHP Certification"
mohini,ece,81.5,81.3,7.6,0,Cognizant, PHP,"Software Testing Framework, Cloud Migration Project",Birlasoft Internship
karthik,it,76,88.5,6.5,0,Tech Mahindra, Java,"E-commerce Website Development, Data Analysis Tool",KPIT Technologies Internship
yuvaraj,cse,80.9,80.2,7.2,0,KPIT Technologies, Python,"Finance Management App, UI Redesign for Web App",Sonata Software Internship
yuva,cse,76.8,86.3,6.2,0,Tech Mahindra, JavaScript,"Automotive Diagnostics Software, Embedded System for Vehicles",Syntel Internship
ranjitha,it,91,79,7,0,Wipro Technologies, SQL,"Content Management System, Mobile Task Management App",Coforge Internship
rani,ece,77,87,6.6,0,Tech Mahindra, Python,"Bug Tracking System, Database Optimization Tool",CSS Corp Internship
hema,eee,92.5,81.7,9.1,0,Hexaware Technologies, Ruby,"Sales Forecasting System, Cloud Migration Project",L&T Infotech Internship
hemaraj,cse,87.2,87.6,8,0,Infosys, JavaScript,"Website Redesign, UI/UX Redesign for Web App","Infosys Internship,  Java Certification"
parvathi,cse,90.5,79.4,7,0,Wipro Technologies, Java,"Inventory Management System, Database Optimization Tool","Wipro Internship,  CompTIA Security+"
aarthi,it,83,84.5,8,0,Infosys, JavaScript,"E-commerce Website Development, Student Database Management",Tech Mahindra Internship
aarthka,ece,92,90.3,9.4,0,Hexaware Technologies, SQL,"Inventory Management System, Network Security Tool",HCL Technologies Internship
maalavi,eee,82,85.6,7.5,0,Cognizant, PHP,"Food Delivery App, Travel Experience App",L&T Infotech Internship
Rahul Sharma,ece,83.2,85.6,7.2,0,KPIT Technologies, Python,"E-commerce Website Development, Student Database Management","Infosys Internship,  Java Certification"
Priya Patel,eee,779,82.7,6.8,0,Wipro Technologies, SQL,"Inventory Management System, Network Security Tool",
Karan Mehta,cse,96.3,88,7.5,0,Cognizant,Css,"Food Delivery App, Travel Experience App","Wipro Internship,  CompTIA Security+"
Pooja Gupta,it,70.4,86.5,7.1,0,KPIT Technologies, PHP,"Sales Forecasting System, Cloud Migration Project",Tech Mahindra Internship
Ankit Verma,cse,89,80.5,6.5,0,Tech Mahindra, Java,"Online Voting System, DevOps Implementation",HCL Technologies Internship
Sneha Singh,it,73.6,89.2,7.8,0,Infosys, Python,"Sentiment Analysis Model, E-commerce Platform",L&T Infotech Internship
Rohit Saini,ece,95.6,81.8,6.9,0,Wipro Technologies, JavaScript,"Bug Tracking System, UI Redesign for an App","Mphasis Internship, Machine Learning Certification"
Simran Yadav,eee,73.5,87.3,7.4,0,Cognizant, SQL,"CRM Software, Inventory Management System",Mindtree Internship
Abhishek Gupta,cse,89.5,84.2,6.7,0,Wipro Technologies, Python,"Cloud Migration Project, Data Analysis Tool",Persistent Systems Internship
Priyanka Kapoor,it,86.5,87.7,7.3,0,KPIT Technologies, Ruby,"E-commerce Platform, Mobile Task Management App",L&T Technology Services Internship
